activity_id,assay_chembl_id,target_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,pchembl_value,extraction_date
61374,CHEMBL674643,CHEMBL203,CHEMBL80745,IC50,1200.0,nM,=,5.92,2026-03-21 13:33:18.447979
61375,CHEMBL675637,CHEMBL203,CHEMBL80745,Ki,,nM,,,2026-03-21 13:33:18.447979
61378,CHEMBL674643,CHEMBL203,CHEMBL77778,IC50,450000.0,nM,=,,2026-03-21 13:33:18.447979
61379,CHEMBL675636,CHEMBL203,CHEMBL77778,Ki,150000.0,nM,=,,2026-03-21 13:33:18.447979
62047,CHEMBL674637,CHEMBL203,CHEMBL305246,IC50,2.8,nM,=,8.55,2026-03-21 13:33:18.447979
62050,CHEMBL621151,CHEMBL203,CHEMBL305246,IC50,100.0,nM,=,7.00,2026-03-21 13:33:18.447979
62052,CHEMBL615325,CHEMBL203,CHEMBL305246,IC50,750.0,nM,=,6.12,2026-03-21 13:33:18.447979
62054,CHEMBL674637,CHEMBL203,CHEMBL69966,IC50,18.0,nM,=,7.75,2026-03-21 13:33:18.447979
62057,CHEMBL621151,CHEMBL203,CHEMBL69966,IC50,40.0,nM,=,7.40,2026-03-21 13:33:18.447979
62059,CHEMBL615325,CHEMBL203,CHEMBL69966,IC50,620.0,nM,=,6.21,2026-03-21 13:33:18.447979
62149,CHEMBL679674,CHEMBL203,CHEMBL47940,IC50,3200.0,nM,=,5.50,2026-03-21 13:33:18.447979
62715,CHEMBL674643,CHEMBL203,CHEMBL57712,IC50,1300000.0,nM,=,,2026-03-21 13:33:18.447979
62720,CHEMBL674643,CHEMBL203,CHEMBL77869,IC50,200000.0,nM,=,,2026-03-21 13:33:18.447979
62721,CHEMBL675636,CHEMBL203,CHEMBL77869,Ki,67000.0,nM,=,4.17,2026-03-21 13:33:18.447979
63367,CHEMBL674637,CHEMBL203,CHEMBL69358,IC50,1.2,nM,=,8.92,2026-03-21 13:33:18.447979
63370,CHEMBL621151,CHEMBL203,CHEMBL69358,IC50,200.0,nM,=,6.70,2026-03-21 13:33:18.447979
63372,CHEMBL615325,CHEMBL203,CHEMBL69358,IC50,1290.0,nM,=,5.89,2026-03-21 13:33:18.447979
63847,CHEMBL677833,CHEMBL203,CHEMBL137189,IC50,200.0,nM,=,6.70,2026-03-21 13:33:18.447979
63852,CHEMBL677833,CHEMBL203,CHEMBL137617,IC50,39.0,nM,=,7.41,2026-03-21 13:33:18.447979
63857,CHEMBL677833,CHEMBL203,CHEMBL137027,IC50,482.0,nM,=,6.32,2026-03-21 13:33:18.447979
64040,CHEMBL674643,CHEMBL203,CHEMBL78257,IC50,800.0,nM,=,6.10,2026-03-21 13:33:18.447979
64041,CHEMBL675637,CHEMBL203,CHEMBL78257,Ki,,nM,,,2026-03-21 13:33:18.447979
64049,CHEMBL674643,CHEMBL203,CHEMBL76082,IC50,560000.0,nM,=,,2026-03-21 13:33:18.447979
64050,CHEMBL674643,CHEMBL203,CHEMBL77595,IC50,850000.0,nM,=,,2026-03-21 13:33:18.447979
64051,CHEMBL675636,CHEMBL203,CHEMBL77595,Ki,2500000.0,nM,>,,2026-03-21 13:33:18.447979
65265,CHEMBL674643,CHEMBL203,CHEMBL309334,IC50,2500.0,nM,=,5.60,2026-03-21 13:33:18.447979
65266,CHEMBL675637,CHEMBL203,CHEMBL309334,Ki,,nM,,,2026-03-21 13:33:18.447979
65267,CHEMBL674643,CHEMBL203,CHEMBL310514,IC50,260000.0,nM,=,,2026-03-21 13:33:18.447979
66030,CHEMBL674637,CHEMBL203,CHEMBL304971,IC50,410.0,nM,=,6.39,2026-03-21 13:33:18.447979
66033,CHEMBL674637,CHEMBL203,CHEMBL69071,IC50,5.9,nM,=,8.23,2026-03-21 13:33:18.447979
66037,CHEMBL615325,CHEMBL203,CHEMBL69071,IC50,2580.0,nM,=,5.59,2026-03-21 13:33:18.447979
66490,CHEMBL677833,CHEMBL203,CHEMBL137534,IC50,38.0,nM,=,7.42,2026-03-21 13:33:18.447979
66495,CHEMBL677833,CHEMBL203,CHEMBL137788,IC50,335.0,nM,=,6.47,2026-03-21 13:33:18.447979
67211,CHEMBL674637,CHEMBL203,CHEMBL69709,IC50,20000.0,nM,>,,2026-03-21 13:33:18.447979
67606,CHEMBL677833,CHEMBL203,CHEMBL424093,IC50,25.0,nM,=,7.60,2026-03-21 13:33:18.447979
67808,CHEMBL674643,CHEMBL203,CHEMBL77030,IC50,2400.0,nM,=,5.62,2026-03-21 13:33:18.447979
