activity_id,assay_chembl_id,target_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,pchembl_value,extraction_date,ic50_nM,log_ic50_nM
68475,CHEMBL615325,CHEMBL203,CHEMBL264382,IC50,1950.0,nM,=,5.71,2026-03-21 13:33:18.447979,1950.0,3.290034611362518
69112,CHEMBL674643,CHEMBL203,CHEMBL308133,IC50,1500000.0,nM,=,,2026-03-21 13:33:18.447979,1500000.0,6.176091259055681
69116,CHEMBL674643,CHEMBL203,CHEMBL307179,IC50,160000.0,nM,=,,2026-03-21 13:33:18.447979,160000.0,5.204119982655925
69854,CHEMBL674637,CHEMBL203,CHEMBL305782,IC50,180.0,nM,=,6.75,2026-03-21 13:33:18.447979,180.0,2.255272505103306
69857,CHEMBL674637,CHEMBL203,CHEMBL308672,IC50,450.0,nM,=,6.35,2026-03-21 13:33:18.447979,450.0,2.6532125137753435
69860,CHEMBL621151,CHEMBL203,CHEMBL308672,IC50,500.0,nM,=,6.3,2026-03-21 13:33:18.447979,500.0,2.6989700043360187
70342,CHEMBL677833,CHEMBL203,CHEMBL133023,IC50,24.0,nM,=,7.62,2026-03-21 13:33:18.447979,24.0,1.380211241711606
70559,CHEMBL674643,CHEMBL203,CHEMBL310400,IC50,375000.0,nM,=,,2026-03-21 13:33:18.447979,375000.0,5.574031267727719
71575,CHEMBL677833,CHEMBL203,CHEMBL136674,IC50,71.0,nM,=,7.15,2026-03-21 13:33:18.447979,71.0,1.8512583487190752
71725,CHEMBL674643,CHEMBL203,CHEMBL73820,IC50,25000.0,nM,=,4.6,2026-03-21 13:33:18.447979,25000.0,4.3979400086720375
71727,CHEMBL674643,CHEMBL203,CHEMBL79064,IC50,230000.0,nM,=,,2026-03-21 13:33:18.447979,230000.0,5.361727836017593
71728,CHEMBL674643,CHEMBL203,CHEMBL77803,IC50,500.0,nM,=,6.3,2026-03-21 13:33:18.447979,500.0,2.6989700043360187
71729,CHEMBL674643,CHEMBL203,CHEMBL75718,IC50,2400000.0,nM,=,,2026-03-21 13:33:18.447979,2400000.0,6.380211241711606
71733,CHEMBL674643,CHEMBL203,CHEMBL77298,IC50,153000.0,nM,=,,2026-03-21 13:33:18.447979,153000.0,5.184691430817598
78012,CHEMBL679949,CHEMBL203,CHEMBL432941,IC50,8880.0,nM,=,5.05,2026-03-21 13:33:18.447979,8880.0,3.948412965778601
79181,CHEMBL679949,CHEMBL203,CHEMBL420609,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979,100000.0,5.0
80323,CHEMBL679949,CHEMBL203,CHEMBL419682,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979,100000.0,5.0
81208,CHEMBL674698,CHEMBL203,CHEMBL322395,IC50,3000.0,nM,=,5.52,2026-03-21 13:33:18.447979,3000.0,3.4771212547196626
83552,CHEMBL679949,CHEMBL203,CHEMBL88462,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979,100000.0,5.0
84549,CHEMBL679949,CHEMBL203,CHEMBL431996,IC50,56500.0,nM,=,4.25,2026-03-21 13:33:18.447979,56500.0,4.752048447819439
85635,CHEMBL679949,CHEMBL203,CHEMBL91250,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979,100000.0,5.0
85644,CHEMBL679949,CHEMBL203,CHEMBL88771,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979,100000.0,5.0
87623,CHEMBL679949,CHEMBL203,CHEMBL91815,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979,100000.0,5.0
88634,CHEMBL679949,CHEMBL203,CHEMBL328029,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979,100000.0,5.0
88643,CHEMBL679949,CHEMBL203,CHEMBL314995,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979,100000.0,5.0
91573,CHEMBL679949,CHEMBL203,CHEMBL88483,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979,100000.0,5.0
91582,CHEMBL679949,CHEMBL203,CHEMBL313746,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979,100000.0,5.0
91591,CHEMBL679949,CHEMBL203,CHEMBL89363,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979,100000.0,5.0
92603,CHEMBL679949,CHEMBL203,CHEMBL276711,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979,100000.0,5.0
96622,CHEMBL679949,CHEMBL203,CHEMBL313500,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979,100000.0,5.0
98658,CHEMBL679949,CHEMBL203,CHEMBL89010,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979,100000.0,5.0
98667,CHEMBL679949,CHEMBL203,CHEMBL86531,IC50,29100.0,nM,=,4.54,2026-03-21 13:33:18.447979,29100.0,4.463892988985907
99530,CHEMBL679949,CHEMBL203,CHEMBL315753,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979,100000.0,5.0
104507,CHEMBL679949,CHEMBL203,CHEMBL88606,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979,100000.0,5.0
104516,CHEMBL679949,CHEMBL203,CHEMBL313821,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979,100000.0,5.0
105574,CHEMBL679549,CHEMBL203,CHEMBL266969,IC50,50000.0,nM,>,,2026-03-21 13:33:18.447979,50000.0,4.698970004336019
105738,CHEMBL673925,CHEMBL203,CHEMBL138691,IC50,4.2,nM,=,8.38,2026-03-21 13:33:18.447979,4.2,0.6232492903979004
105739,CHEMBL677216,CHEMBL203,CHEMBL138691,IC50,2282.0,nM,=,5.64,2026-03-21 13:33:18.447979,2282.0,3.358315640082196
106119,CHEMBL679947,CHEMBL203,CHEMBL52829,IC50,4.0,nM,=,8.4,2026-03-21 13:33:18.447979,4.0,0.6020599913279624
106120,CHEMBL679947,CHEMBL203,CHEMBL52823,IC50,380.0,nM,=,6.42,2026-03-21 13:33:18.447979,380.0,2.57978359661681
106688,CHEMBL679549,CHEMBL203,CHEMBL8000,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979,100000.0,5.0
106691,CHEMBL621149,CHEMBL203,CHEMBL8000,IC50,50000.0,nM,>,,2026-03-21 13:33:18.447979,50000.0,4.698970004336019
106877,CHEMBL673925,CHEMBL203,CHEMBL139307,IC50,3.3,nM,=,8.48,2026-03-21 13:33:18.447979,3.3,0.5185139398778874
106878,CHEMBL677216,CHEMBL203,CHEMBL139307,IC50,194.0,nM,=,6.71,2026-03-21 13:33:18.447979,194.0,2.287801729930226
107298,CHEMBL680019,CHEMBL203,CHEMBL322298,IC50,200.0,nM,=,6.7,2026-03-21 13:33:18.447979,200.0,2.3010299956639813
107302,CHEMBL680019,CHEMBL203,CHEMBL111434,IC50,670.0,nM,=,6.17,2026-03-21 13:33:18.447979,670.0,2.8260748027008264
107306,CHEMBL680019,CHEMBL203,CHEMBL111197,IC50,30.0,nM,=,7.52,2026-03-21 13:33:18.447979,30.0,1.4771212547196624
107803,CHEMBL677391,CHEMBL203,CHEMBL291667,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979,100000.0,5.0
107904,CHEMBL679549,CHEMBL203,CHEMBL8091,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979,100000.0,5.0
107990,CHEMBL673925,CHEMBL203,CHEMBL136058,IC50,0.81,nM,=,9.09,2026-03-21 13:33:18.447979,0.81,-0.09151498112135022
107991,CHEMBL677216,CHEMBL203,CHEMBL136058,IC50,8.8,nM,=,8.06,2026-03-21 13:33:18.447979,8.8,0.9444826721501687
107993,CHEMBL677213,CHEMBL203,CHEMBL136058,IC50,8.8,nM,=,8.06,2026-03-21 13:33:18.447979,8.8,0.9444826721501687
108287,CHEMBL680019,CHEMBL203,CHEMBL113128,IC50,50000.0,nM,>,,2026-03-21 13:33:18.447979,50000.0,4.698970004336019
108323,CHEMBL679947,CHEMBL203,CHEMBL51854,IC50,3.8,nM,=,8.42,2026-03-21 13:33:18.447979,3.8,0.5797835966168101
108863,CHEMBL683041,CHEMBL203,CHEMBL939,IC50,515.0,nM,=,6.29,2026-03-21 13:33:18.447979,515.0,2.711807229041191
108868,CHEMBL683041,CHEMBL203,CHEMBL95320,IC50,850.0,nM,=,6.07,2026-03-21 13:33:18.447979,850.0,2.929418925714293
109085,CHEMBL679549,CHEMBL203,CHEMBL8271,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979,100000.0,5.0
109692,CHEMBL679947,CHEMBL203,CHEMBL298931,IC50,17.0,nM,=,7.77,2026-03-21 13:33:18.447979,17.0,1.2304489213782739
110218,CHEMBL677391,CHEMBL203,CHEMBL292323,IC50,6500.0,nM,=,5.19,2026-03-21 13:33:18.447979,6500.0,3.8129133566428557
110240,CHEMBL676146,CHEMBL203,CHEMBL334334,IC50,9000.0,nM,=,5.05,2026-03-21 13:33:18.447979,9000.0,3.9542425094393248
