MolWt,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,TPSA,FractionCSP3,molecule_chembl_id,ic50_nM,log_ic50
542.0150000000001,3.57442,5,7,10,3,135.27,0.3076923076923077,CHEMBL304271,0.45,-0.3467874862246563
204.18499999999997,0.4900799999999999,3,4,2,1,107.34,0.0,CHEMBL296407,10000.0,4.0
281.231,1.4673399999999999,2,7,3,1,160.76,0.0,CHEMBL309625,60000.0,4.778151250383644
200.20100000000002,1.5102599999999997,1,5,3,1,81.19999999999999,0.1,CHEMBL77825,600000.0,5.778151250383644
230.22299999999998,1.83996,1,5,3,1,86.27,0.16666666666666666,CHEMBL421877,850000.0,5.929418925714293
202.16899999999998,1.2339599999999997,3,5,1,1,108.27000000000001,0.0,CHEMBL310798,3000.0,3.4771212547196626
292.34600000000006,3.806600000000002,1,5,4,3,65.77,0.125,CHEMBL135592,8000.0,3.9030899869919438
218.16799999999998,1.5863800000000001,1,4,3,1,104.23,0.0,CHEMBL309866,1300000.0,6.113943352306837
162.14799999999997,1.0062799999999998,2,2,2,1,76.88,0.0,CHEMBL77381,1360000.0,6.133538908370218
189.17,1.3837799999999998,2,3,2,1,81.32,0.0,CHEMBL76602,165000.0,5.217483944213907
155.15999999999997,1.51216,0,3,1,1,60.47,0.0,CHEMBL77737,250000.0,5.3979400086720375
172.16199999999998,2.25626,0,2,1,1,47.58,0.0,CHEMBL76983,1250000.0,6.096910013008056
215.16799999999998,1.7309600000000003,1,5,2,1,110.95000000000002,0.0,CHEMBL308134,125000.0,5.096910013008056
326.791,4.587100000000003,1,5,4,3,65.77,0.125,CHEMBL136491,14.0,1.146128035678238
183.214,2.08946,1,3,1,1,73.6,0.09090909090909091,CHEMBL77280,1250000.0,6.096910013008056
227.223,0.93896,2,4,3,1,96.91000000000001,0.08333333333333333,CHEMBL76557,625000.0,5.795880017344075
250.30500000000004,3.2640200000000004,2,4,2,3,63.83,0.06666666666666667,CHEMBL336113,1000.0,3.0
312.76400000000007,4.435700000000002,2,5,4,3,74.56,0.06666666666666667,CHEMBL133024,100.0,2.0
306.373,3.958000000000003,0,5,4,3,56.980000000000004,0.17647058823529413,CHEMBL344652,13350.0,4.125481265700594
185.186,1.7351599999999998,2,4,2,1,79.84,0.0,CHEMBL77814,350000.0,5.544068044350276
179.17499999999998,0.8144999999999998,3,3,3,1,69.56,0.0,CHEMBL47986,14000.0,4.146128035678238
434.30100000000016,5.510200000000003,2,6,6,4,87.45,0.05,CHEMBL138125,238.0,2.376576957056512
456.34800000000035,4.247200000000003,2,7,7,3,87.03,0.3,CHEMBL137364,64.0,1.806179973983887
190.118,-1.30384,2,5,0,0,122.85,0.0,CHEMBL308339,1400000.0,6.146128035678238
198.18099999999998,1.81536,1,3,2,1,84.88000000000001,0.0,CHEMBL78174,430000.0,5.633468455579586
511.9450000000004,2.895500000000001,4,7,7,3,124.26999999999998,0.25,CHEMBL302552,22.0,1.3424226808222062
218.16799999999998,1.1196599999999999,4,6,1,1,128.5,0.0,CHEMBL309598,13500.0,4.1303337684950066
200.19699999999997,1.8313599999999997,1,4,2,1,77.03999999999999,0.09090909090909091,CHEMBL78302,250000.0,5.3979400086720375
559.6300000000002,4.824820000000003,3,6,6,5,117.16999999999999,0.1875,CHEMBL67057,4.5,0.6532125137753437
559.6300000000002,4.824820000000003,3,6,6,5,117.16999999999999,0.1875,CHEMBL67057,100.0,2.0
250.30500000000004,2.8241000000000014,2,4,3,3,63.83,0.06666666666666667,CHEMBL332096,508.0,2.7058637122839193
215.16799999999995,1.7309599999999998,1,5,2,1,110.95,0.0,CHEMBL77387,450000.0,5.653212513775344
526.0160000000002,4.5219400000000025,4,6,9,3,115.04,0.3076923076923077,CHEMBL432903,200.0,2.3010299956639813
495.94600000000037,3.5295200000000015,3,6,4,3,106.24999999999997,0.25,CHEMBL69964,210.0,2.322219294733919
470.53300000000024,3.3105200000000012,3,6,4,3,112.24,0.3076923076923077,CHEMBL65848,1410.0,3.1492191126553797
470.53300000000024,3.3105200000000012,3,6,4,3,112.24,0.3076923076923077,CHEMBL65848,5000.0,3.6989700043360187
470.53300000000024,3.3105200000000012,3,6,4,3,112.24,0.3076923076923077,CHEMBL65848,4320.0,3.635483746814912
191.161,1.8172799999999998,1,2,2,1,61.09,0.0,CHEMBL78184,833000.0,5.920645001406788
201.18099999999998,1.49068,1,3,3,1,78.16,0.0,CHEMBL76985,47000.0,4.672097857935717
180.159,1.1956,3,3,2,1,77.76,0.0,CHEMBL145,1200000.0,6.079181246047625
525.9720000000001,3.203920000000001,4,7,7,3,124.27000000000001,0.28,CHEMBL69629,6.5,0.8129133566428556
525.9720000000001,3.203920000000001,4,7,7,3,124.27000000000001,0.28,CHEMBL69629,40.0,1.6020599913279623
525.9720000000001,3.203920000000001,4,7,7,3,124.27000000000001,0.28,CHEMBL69629,2050.0,3.311753861055754
250.30499999999998,2.9799000000000007,1,4,2,3,55.040000000000006,0.06666666666666667,CHEMBL136492,8400.0,3.9242792860618816
