molecule_chembl_id,ic50_nM,pchembl_value,smiles,assay_chembl_id
CHEMBL8271,100000.0,,O=C1NC(=O)c2cc(Sc3ccccc3)c(Sc3ccccc3)cc21,CHEMBL679549
CHEMBL298931,17.0,7.77,Cc1cccc(Nc2ncnc3cnc(N)nc23)c1,CHEMBL679947
CHEMBL292323,6500.0,5.19,COc1cccc2c(C(=O)Nc3ccccc3)c(SSc3c(C(=O)Nc4ccccc4)c4cccc(OC)c4n3C)n(C)c12,CHEMBL677391
CHEMBL334334,9000.0,5.05,COC(=O)c1cccc(NCc2cc(O)ccc2O)c1,CHEMBL676146
CHEMBL316764,100000.0,,O=C(O)c1cc(/N=C/c2cc(O)ccc2O)ccc1O,CHEMBL676146
CHEMBL545315,1.5,8.82,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1.Cl.Cl,CHEMBL673925
CHEMBL545315,7.4,8.13,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1.Cl.Cl,CHEMBL677216
CHEMBL545315,7.4,8.13,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1.Cl.Cl,CHEMBL677213
CHEMBL111365,1300.0,5.89,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cn1,CHEMBL680019
CHEMBL52591,4.3,8.37,CNc1ncc2ncnc(Nc3cccc(C)c3)c2n1,CHEMBL679947
CHEMBL64459,100000.0,,Cc1ccc2c(C(=O)Nc3ccccc3)c(SSc3c(C(=O)Nc4ccccc4)c4ccc(C)cc4n3C)n(C)c2c1,CHEMBL677391
CHEMBL129989,100000.0,,COC(=O)c1cc(/N=C/c2cc(O)ccc2O)ccc1OC,CHEMBL676146
